sp;lon;lat
Astrocaryum.vulgare;-41.9956;-6.9289
Astrocaryum.vulgare;-41.8583;-3.4203
Astrocaryum.vulgare;-42.0061;-4.6664
Astrocaryum.vulgare;-41.7328;-6.7792
Astrocaryum.vulgare;-41.7428;-5.1519
Astrocaryum.vulgare;-41.4908;-5.3617
Astrocaryum.vulgare;-61.055;-12.405
Astrocaryum.vulgare;-47.8678;-6.0281
Astrocaryum.vulgare;-48.0958;-7.0969
Astrocaryum.vulgare;-48.6006;-7.7478
Astrocaryum.vulgare;-48.9922;-8.1453
Astrocaryum.vulgare;-49.3772;-9.1989
Astrocaryum.vulgare;-49.5436;-9.9603
Astrocaryum.vulgare;-49.2361;-10.6844
Astrocaryum.vulgare;-49.4517;-11.1736
Astrocaryum.vulgare;-48.5272;-7.2025
Astrocaryum.vulgare;-48.5428;-7.5294
Astrocaryum.vulgare;-47.6453;-6.1575
Astrocaryum.vulgare;-48.3892;-8.6831
Astrocaryum.vulgare;-47.4386;-8.9728
Astrocaryum.vulgare;-47.9139;-9.5961
Astrocaryum.vulgare;-47.5761;-9.9497
Astrocaryum.vulgare;-48.575;-10.2717
Astrocaryum.vulgare;-48.6508;-11.1358
Astrocaryum.vulgare;-47.8092;-12.8419
Astrocaryum.vulgare;-47.8631;-7.1442
